customer_id,customer_age,customer_income,employment_duration,loan_grade,loan_amount_in_thousand,loan_int_rate,term_years,cred_hist_length,Current_loan_status,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,Income_bracket,Loan_amount_bracket,loan_int_rate_bracket,home_ownership,Cluster
88.0,24,69000.0,2.0,A,27.6,11.49,10,2,0,False,False,False,True,False,False,True,False,False,False,high,very high,medium rate,RENT,1
89.0,21,12000.0,5.0,D,3.25,15.68,1,3,1,True,False,False,False,True,False,False,False,False,False,very low,very low,very high rate,MORTGAGE,0
90.0,22,70000.0,4.0,B,27.5,13.06,10,3,1,False,False,False,True,False,True,False,False,False,False,high,very high,high rate,RENT,1
92.0,26,73200.0,5.0,C,27.05,15.62,10,2,1,False,False,False,True,False,False,False,False,False,True,high,very high,very high rate,RENT,0
93.0,24,83000.0,5.0,B,27.0,13.49,10,2,1,False,False,False,True,False,False,False,False,True,False,high,very high,high rate,RENT,1
94.0,24,73399.0,0.0,C,27.0,15.62,10,3,1,False,False,False,True,False,False,False,False,False,True,high,very high,very high rate,RENT,0
95.0,23,62500.0,7.0,A,26.0,11.71,10,2,0,False,False,False,True,False,False,False,True,False,False,medium,very high,medium rate,RENT,1
96.0,23,120000.0,1.0,A,25.6,12.69,10,3,0,False,False,False,True,False,True,False,False,False,False,very high,very high,high rate,RENT,2
97.0,24,12360.0,2.0,B,1.6,13.57,4,3,0,False,False,True,False,False,False,False,True,False,False,very low,very low,high rate,OTHER,1
98.0,22,60000.0,0.0,A,25.475,10.99,10,3,0,False,False,False,True,False,False,False,False,False,True,medium,very high,medium rate,RENT,1
102.0,25,221004.0,6.0,C,11.9,14.42,10,3,1,True,False,False,False,True,False,False,False,False,False,very high,high,very high rate,MORTGAGE,0
105.0,23,83000.0,7.0,A,25.3,10.99,10,3,0,False,False,False,True,False,True,False,False,False,False,high,very high,medium rate,RENT,1
107.0,25,12600.0,3.0,B,1.75,13.61,5,3,0,False,False,True,False,False,False,False,False,True,False,very low,very low,high rate,OTHER,1
108.0,21,42500.0,3.0,B,25.0,12.73,10,3,1,False,False,False,True,False,True,False,False,False,False,low,very high,high rate,RENT,1
109.0,24,41000.0,2.0,C,25.0,14.9,10,3,1,False,False,False,True,False,False,True,False,False,False,low,very high,very high rate,RENT,0
110.0,25,12816.0,0.0,B,3.0,12.87,5,4,1,False,False,True,False,True,False,False,False,False,False,very low,very low,high rate,OTHER,1
111.0,24,12960.0,1.0,A,3.65,9.91,4,3,1,True,False,False,False,False,False,True,False,False,False,very low,very low,low rate,MORTGAGE,3
112.0,26,226000.0,4.0,A,20.0,11.49,10,4,0,True,False,False,False,False,False,True,False,False,False,very high,very high,medium rate,MORTGAGE,2
115.0,24,225000.0,0.0,A,6.0,8.49,4,4,0,False,False,False,True,False,False,False,True,False,False,very high,low,low rate,RENT,2
116.0,24,12960.0,0.0,A,4.5,11.83,4,4,1,True,False,False,False,True,False,False,False,False,False,very low,low,medium rate,MORTGAGE,1
117.0,23,12996.0,0.0,B,2.4,13.49,3,2,1,False,False,True,False,True,False,False,False,False,False,very low,very low,high rate,OTHER,1
118.0,22,42000.0,6.0,C,25.0,14.59,10,2,1,False,False,False,True,False,False,False,True,False,False,low,very high,very high rate,RENT,0
119.0,26,48000.0,2.0,B,25.0,9.64,10,4,1,False,False,False,True,False,True,False,False,False,False,low,very high,low rate,RENT,1
120.0,25,12996.0,1.0,C,3.6,14.59,5,3,1,False,False,True,False,False,False,False,True,False,False,very low,very low,very high rate,OTHER,0
121.0,22,12996.0,1.0,A,4.75,8.9,2,3,1,False,False,True,False,False,True,False,False,False,False,very low,low,low rate,OTHER,3
122.0,25,42360.0,1.0,D,25.0,16.35,10,3,1,False,False,False,True,False,True,False,False,False,False,low,very high,very high rate,RENT,0
123.0,21,49000.0,4.0,B,25.0,10.99,10,2,1,False,False,False,True,False,True,False,False,False,False,low,very high,medium rate,RENT,1
124.0,25,225000.0,0.0,E,25.0,18.67,10,2,0,True,False,False,False,False,False,False,False,False,True,very high,very high,very high rate,MORTGAGE,2
125.0,26,225000.0,1.0,A,3.0,9.32,6,4,0,False,False,False,True,False,True,False,False,False,False,very high,very low,low rate,RENT,2
126.0,23,225000.0,8.0,A,7.5,8.63,3,2,0,False,False,False,True,True,False,False,False,False,False,very high,medium,low rate,RENT,2
127.0,26,225000.0,2.0,A,25.0,10.08,10,2,0,True,False,False,False,False,False,False,False,False,True,very high,very high,medium rate,MORTGAGE,2
128.0,22,49464.0,5.0,B,25.0,11.83,10,3,1,False,False,False,True,False,False,False,False,True,False,medium,very high,medium rate,RENT,1
129.0,23,50000.0,1.0,A,25.0,7.9,10,3,0,False,False,False,True,True,False,False,False,False,False,medium,very high,low rate,RENT,3
130.0,25,50000.0,4.0,A,25.0,5.99,10,2,1,False,False,False,True,False,False,True,False,False,False,medium,very high,very low rate,RENT,2
131.0,24,44000.0,2.0,C,25.0,15.33,10,2,1,False,False,False,True,True,False,False,False,False,False,low,very high,very high rate,RENT,0
132.0,23,50000.0,1.0,A,25.0,11.83,10,4,0,False,False,False,True,False,False,False,False,False,True,medium,very high,medium rate,RENT,1
133.0,22,50004.0,0.0,A,25.0,10.36,10,2,0,False,False,False,True,False,False,False,False,False,True,medium,very high,medium rate,RENT,1
134.0,22,50004.0,3.0,B,25.0,12.23,10,3,1,False,False,False,True,False,False,False,False,False,True,medium,very high,high rate,RENT,1
135.0,22,52000.0,2.0,A,25.0,11.11,10,4,0,False,False,False,True,False,True,False,False,False,False,medium,very high,medium rate,RENT,1
136.0,23,13200.0,3.0,A,4.95,7.9,3,4,1,False,False,True,False,True,False,False,False,False,False,very low,low,low rate,OTHER,3
137.0,24,220000.0,1.0,A,25.0,11.58,10,2,0,True,False,False,False,False,True,False,False,False,False,very high,very high,medium rate,MORTGAGE,2
138.0,23,216000.0,5.0,A,21.0,8.9,10,3,0,True,False,False,False,True,False,False,False,False,False,very high,very high,low rate,MORTGAGE,2
139.0,25,216000.0,2.0,C,25.0,16.07,10,3,0,True,False,False,False,False,True,False,False,False,False,very high,very high,very high rate,MORTGAGE,0
140.0,26,216000.0,10.0,B,20.0,14.22,10,2,0,True,False,False,False,False,True,False,False,False,False,very high,very high,very high rate,MORTGAGE,2
142.0,26,215000.0,11.0,A,12.0,7.88,10,2,0,True,False,False,False,False,True,False,False,False,False,very high,high,low rate,MORTGAGE,2
143.0,23,52000.0,1.0,B,25.0,13.22,10,2,1,False,False,False,True,False,False,False,False,True,False,medium,very high,high rate,RENT,1
144.0,26,46000.0,2.0,C,25.0,11.86,10,4,1,False,False,False,True,True,False,False,False,False,False,low,very high,medium rate,RENT,0
145.0,22,53000.0,5.0,B,25.0,13.43,10,4,1,False,False,False,True,False,True,False,False,False,False,medium,very high,high rate,RENT,1
146.0,26,47000.0,0.0,C,25.0,15.28,10,2,1,False,False,False,True,False,False,True,False,False,False,low,very high,very high rate,RENT,0
147.0,23,47000.0,1.0,D,25.0,17.93,10,2,1,False,False,False,True,False,False,False,False,False,True,low,very high,very high rate,RENT,0
148.0,23,13200.0,2.0,A,1.4,9.25,3,4,0,True,False,False,False,False,True,False,False,False,False,very low,very low,low rate,MORTGAGE,3
149.0,21,13200.0,0.0,B,4.5,12.98,1,4,1,False,False,True,False,False,False,False,False,False,True,very low,low,high rate,OTHER,1
150.0,22,210000.0,6.0,A,16.0,10.62,10,4,0,True,False,False,False,False,False,False,False,False,True,very high,very high,medium rate,MORTGAGE,2
151.0,26,210000.0,10.0,A,22.0,11.83,10,4,0,False,False,True,False,False,False,False,False,True,False,very high,very high,medium rate,OTHER,2
152.0,26,48000.0,5.0,E,25.0,18.43,10,2,1,False,False,False,True,False,False,False,False,False,True,low,very high,very high rate,RENT,0
153.0,22,54996.0,6.0,A,25.0,10.635,10,4,0,False,False,False,True,False,True,False,False,False,False,medium,very high,medium rate,RENT,1
154.0,24,55000.0,4.0,C,25.0,14.9,10,4,1,False,False,False,True,False,False,True,False,False,False,medium,very high,very high rate,RENT,0
155.0,23,55000.0,4.0,A,25.0,11.36,10,3,0,False,False,False,True,False,True,False,False,False,False,medium,very high,medium rate,RENT,1
156.0,23,55000.0,4.0,C,25.0,15.65,10,3,1,False,False,False,True,False,True,False,False,False,False,medium,very high,very high rate,RENT,0
157.0,24,55164.0,8.0,B,25.0,13.22,10,4,1,False,False,False,True,False,False,False,False,True,False,medium,very high,high rate,RENT,1
158.0,26,56000.0,4.0,B,25.0,12.87,10,2,1,False,False,False,True,True,False,False,False,False,False,medium,very high,high rate,RENT,1
159.0,24,203500.0,8.0,B,20.0,13.04,10,3,0,False,False,True,False,False,False,False,True,False,False,very high,very high,high rate,OTHER,1
160.0,23,190000.0,5.0,E,22.0,17.58,10,3,1,True,False,False,False,False,True,False,False,False,False,very high,very high,very high rate,MORTGAGE,2
161.0,23,13920.0,2.0,D,7.75,17.04,3,4,1,False,False,True,False,False,False,False,False,True,False,very low,medium,very high rate,OTHER,0
162.0,24,60000.0,0.0,A,25.0,10.99,10,3,1,False,False,False,True,False,False,False,False,True,False,medium,very high,medium rate,RENT,1
163.0,24,60000.0,2.0,A,25.0,11.11,10,3,1,False,False,False,True,False,False,False,False,True,False,medium,very high,medium rate,RENT,1
164.0,26,54000.0,7.0,C,25.0,14.83,10,2,1,False,False,False,True,True,False,False,False,False,False,medium,very high,very high rate,RENT,0
165.0,23,14000.0,2.0,C,4.0,14.27,3,3,1,False,False,True,False,True,False,False,False,False,False,very low,very low,very high rate,OTHER,0
166.0,24,200000.0,8.0,A,12.0,12.69,10,2,0,False,False,False,True,False,False,False,True,False,False,very high,high,high rate,RENT,2
167.0,24,200000.0,8.0,B,12.0,13.49,10,2,0,True,False,False,False,False,False,True,False,False,False,very high,high,high rate,MORTGAGE,2
168.0,21,200000.0,5.0,B,16.0,14.65,10,4,0,True,False,False,False,False,True,False,False,False,False,very high,very high,very high rate,MORTGAGE,2
169.0,25,54000.0,3.0,D,25.0,16.82,10,4,1,False,False,False,True,False,False,True,False,False,False,medium,very high,very high rate,RENT,0
170.0,23,60000.0,3.0,B,25.0,12.73,10,3,1,False,False,False,True,False,False,False,False,True,False,medium,very high,high rate,RENT,1
171.0,23,60000.0,7.0,A,25.0,10.25,10,4,1,False,False,False,True,False,False,False,False,True,False,medium,very high,medium rate,RENT,1
172.0,21,60000.0,6.0,A,25.0,10.99,10,4,1,False,False,False,True,False,True,False,False,False,False,medium,very high,medium rate,RENT,1
173.0,25,61959.0,9.0,B,25.0,12.73,10,2,1,False,False,False,True,False,False,False,True,False,False,medium,very high,high rate,RENT,1
174.0,22,56400.0,2.0,C,25.0,14.96,10,3,1,False,False,False,True,False,False,True,False,False,False,medium,very high,very high rate,RENT,0
175.0,23,200000.0,7.0,A,28.0,10.635,10,2,0,True,False,False,False,False,True,False,False,False,False,very high,very high,medium rate,MORTGAGE,2
176.0,21,200000.0,2.0,B,25.0,13.99,10,2,0,True,False,False,False,True,False,False,False,False,False,very high,very high,very high rate,MORTGAGE,2
177.0,24,200000.0,3.0,A,24.0,7.49,10,4,0,True,False,False,False,False,False,False,False,False,True,very high,very high,very low rate,MORTGAGE,2
178.0,26,200000.0,4.0,B,15.0,14.79,10,3,0,True,False,False,False,False,True,False,False,False,False,very high,very high,very high rate,MORTGAGE,2
179.0,25,200000.0,2.0,A,15.5,11.99,10,2,0,True,False,False,False,True,False,False,False,False,False,very high,very high,high rate,MORTGAGE,2
180.0,24,200000.0,8.0,A,10.0,8.49,4,4,0,False,False,False,True,False,True,False,False,False,False,very high,medium,low rate,RENT,2
181.0,24,66000.0,3.0,A,25.0,9.91,10,2,1,False,False,False,True,False,True,False,False,False,False,high,very high,low rate,RENT,3
182.0,22,66000.0,6.0,B,25.0,13.06,10,3,1,False,False,False,True,False,True,False,False,False,False,high,very high,high rate,RENT,1
183.0,22,200000.0,6.0,A,9.0,6.17,2,4,0,True,False,False,False,True,False,False,False,False,False,very high,medium,very low rate,MORTGAGE,2
185.0,25,200000.0,5.0,C,18.0,16.32,10,3,0,False,False,False,True,False,True,False,False,False,False,very high,very high,very high rate,RENT,0
186.0,25,200000.0,2.0,A,12.0,10.38,10,2,0,True,False,False,False,False,False,False,False,False,True,very high,high,medium rate,MORTGAGE,2
187.0,25,200000.0,9.0,B,23.05,14.35,10,3,0,True,False,False,False,False,False,False,False,True,False,very high,very high,very high rate,MORTGAGE,2
188.0,24,200000.0,8.0,A,20.0,10.99,10,3,0,True,False,False,False,True,False,False,False,False,False,very high,very high,medium rate,MORTGAGE,2
189.0,24,60000.0,2.0,D,25.0,16.35,10,2,1,False,False,False,True,True,False,False,False,False,False,medium,very high,very high rate,RENT,0
190.0,21,14400.0,0.0,A,3.0,7.51,1,4,1,False,False,True,False,False,False,True,False,False,False,very low,very low,very low rate,OTHER,2
191.0,26,66996.0,10.0,C,25.0,15.21,10,2,1,False,False,False,True,False,False,False,False,True,False,high,very high,very high rate,RENT,0
192.0,23,67000.0,3.0,A,25.0,7.9,10,4,1,False,False,False,True,False,True,False,False,False,False,high,very high,low rate,RENT,3
193.0,24,67000.0,2.0,A,25.0,10.99,10,3,1,False,False,False,True,False,False,False,False,False,True,high,very high,medium rate,RENT,1
194.0,24,68000.0,5.0,C,25.0,14.09,10,3,1,False,False,False,True,False,False,False,False,True,False,high,very high,very high rate,RENT,0
195.0,25,69000.0,9.0,C,25.0,17.49,10,2,1,False,False,False,True,False,False,False,False,True,False,high,very high,very high rate,RENT,0
196.0,25,200000.0,0.0,A,12.0,11.48,10,3,0,True,False,False,False,False,True,False,False,False,False,very high,high,medium rate,MORTGAGE,2
197.0,26,188000.0,10.0,D,20.0,17.74,10,2,1,True,False,False,False,False,False,False,False,False,True,very high,very high,very high rate,MORTGAGE,2
198.0,26,200000.0,4.0,B,3.0,13.92,6,3,0,True,False,False,False,False,False,False,False,True,False,very high,very low,very high rate,MORTGAGE,2
199.0,25,69996.0,9.0,C,25.0,15.21,10,3,1,False,False,False,True,False,True,False,False,False,False,high,very high,very high rate,RENT,0
200.0,22,14400.0,2.0,A,4.0,10.99,2,3,1,False,False,True,False,False,False,False,True,False,False,very low,very low,medium rate,OTHER,1
201.0,24,70000.0,3.0,A,25.0,11.86,10,4,1,False,False,False,True,False,True,False,False,False,False,high,very high,medium rate,RENT,1
202.0,24,14400.0,5.0,A,6.0,7.49,4,3,1,False,False,True,False,False,False,False,False,True,False,very low,low,very low rate,OTHER,2
203.0,24,56100.0,7.0,C,25.0,16.49,10,4,1,False,False,False,True,False,False,False,True,False,False,medium,very high,very high rate,RENT,0
204.0,25,66000.0,9.0,C,25.0,15.33,10,2,1,False,False,False,True,False,False,False,False,False,True,high,very high,very high rate,RENT,0
205.0,26,66000.0,3.0,A,25.0,11.58,10,4,1,False,False,False,True,False,False,True,False,False,False,high,very high,medium rate,RENT,1
206.0,25,14400.0,7.0,A,5.375,5.79,5,2,1,False,False,True,False,False,True,False,False,False,False,very low,low,very low rate,OTHER,2
207.0,25,72612.0,9.0,B,25.0,13.11,10,2,1,False,False,False,True,False,False,False,True,False,False,high,very high,high rate,RENT,1
208.0,23,74000.0,3.0,A,25.0,10.36,10,3,1,False,False,False,True,False,False,False,True,False,False,high,very high,medium rate,RENT,1
209.0,25,75000.0,9.0,A,25.0,10.36,10,2,1,False,False,False,True,True,False,False,False,False,False,high,very high,medium rate,RENT,1
210.0,24,192000.0,0.0,B,22.0,13.075,10,2,0,False,False,False,True,False,False,False,True,False,False,very high,very high,high rate,RENT,1
211.0,21,192000.0,123.0,A,20.0,6.54,10,4,0,True,False,False,False,False,False,False,False,False,True,very high,very high,very low rate,MORTGAGE,2
212.0,25,191000.0,1.0,A,10.0,12.53,5,4,0,True,False,False,False,False,False,False,True,False,False,very high,medium,high rate,MORTGAGE,2
213.0,26,190300.0,5.0,A,15.0,10.870000000000001,10,3,0,True,False,False,False,False,False,False,False,True,False,very high,very high,medium rate,MORTGAGE,2
214.0,22,190000.0,3.0,B,10.0,12.23,2,3,0,True,False,False,False,False,False,False,False,False,True,very high,medium,high rate,MORTGAGE,2
215.0,24,75000.0,4.0,A,25.0,10.25,10,4,1,False,False,False,True,False,True,False,False,False,False,high,very high,medium rate,RENT,1
216.0,22,71000.0,1.0,C,25.0,15.95,10,4,1,False,False,False,True,False,True,False,False,False,False,high,very high,very high rate,RENT,0
217.0,26,190000.0,3.0,A,20.0,12.18,10,4,0,True,False,False,False,False,False,False,False,False,True,very high,very high,high rate,MORTGAGE,2
218.0,23,189996.0,0.0,A,24.0,11.83,10,3,0,False,False,True,False,False,False,False,False,True,False,very high,very high,medium rate,OTHER,2
220.0,23,78000.0,1.0,A,25.0,10.62,10,3,1,False,False,False,True,False,False,False,False,False,True,high,very high,medium rate,RENT,1
221.0,23,78504.0,7.0,A,25.0,10.74,10,3,1,False,False,False,True,False,False,False,False,False,True,high,very high,medium rate,RENT,1
222.0,25,186000.0,9.0,A,10.0,10.25,5,4,0,False,False,True,False,False,False,False,False,False,True,very high,medium,medium rate,OTHER,2
224.0,25,185000.0,6.0,B,15.0,15.27,10,2,0,False,False,False,True,False,False,False,False,False,True,very high,very high,very high rate,RENT,0
225.0,24,62050.0,8.0,C,25.0,15.33,10,2,1,False,False,False,True,False,False,False,True,False,False,medium,very high,very high rate,RENT,0
226.0,23,79416.0,7.0,C,25.0,15.21,10,2,1,False,False,False,True,False,False,False,False,False,True,high,very high,very high rate,RENT,0
227.0,21,14400.0,4.0,B,6.25,14.72,1,2,1,False,False,True,False,False,False,False,False,False,True,very low,low,very high rate,OTHER,0
228.0,24,79631.0,8.0,C,25.0,15.7,10,2,1,False,False,False,True,False,False,False,False,True,False,high,very high,very high rate,RENT,0
229.0,24,79632.0,0.0,B,25.0,13.35,10,4,1,False,False,False,True,False,True,False,False,False,False,high,very high,high rate,RENT,1
230.0,21,14400.0,0.0,B,1.5,11.05,1,4,0,True,False,False,False,False,False,False,True,False,False,very low,very low,medium rate,MORTGAGE,1
231.0,24,80000.0,6.0,A,25.0,6.62,10,2,1,False,False,False,True,False,True,False,False,False,False,high,very high,very low rate,RENT,2
232.0,26,80000.0,5.0,B,25.0,13.61,10,4,1,False,False,False,True,True,False,False,False,False,False,high,very high,high rate,RENT,1
233.0,22,185000.0,4.0,A,25.0,11.36,10,2,0,False,False,False,True,False,False,False,True,False,False,very high,very high,medium rate,RENT,1
234.0,26,185000.0,10.0,A,5.0,7.68,6,2,0,False,False,True,False,False,False,False,False,True,False,very high,low,very low rate,OTHER,2
235.0,24,184992.0,7.0,C,22.0,14.46,10,4,0,False,False,False,True,False,False,True,False,False,False,very high,very high,very high rate,RENT,0
236.0,23,184000.0,5.0,A,2.5,11.83,3,2,0,False,False,True,False,False,True,False,False,False,False,very high,very low,medium rate,OTHER,2
237.0,24,172000.0,6.0,B,20.0,13.47,10,4,1,True,False,False,False,True,False,False,False,False,False,very high,very high,high rate,MORTGAGE,2
238.0,24,183000.0,2.0,A,20.0,11.49,10,3,0,True,False,False,False,False,False,False,True,False,False,very high,very high,medium rate,MORTGAGE,2
239.0,22,183000.0,3.0,A,1.0,8.9,2,2,0,True,False,False,False,False,True,False,False,False,False,very high,very low,low rate,MORTGAGE,2
240.0,25,182952.0,9.0,A,15.0,6.03,10,3,0,True,False,False,False,False,False,False,False,True,False,very high,very high,very low rate,MORTGAGE,2
241.0,23,74004.0,7.0,D,25.0,16.35,10,4,1,False,False,False,True,True,False,False,False,False,False,high,very high,very high rate,RENT,0
242.0,26,74004.0,10.0,C,25.0,15.33,10,4,1,False,False,False,True,True,False,False,False,False,False,high,very high,very high rate,RENT,0
243.0,25,81000.0,5.0,A,25.0,7.29,10,3,1,False,False,False,True,True,False,False,False,False,False,high,very high,very low rate,RENT,2
244.0,23,81600.0,1.0,A,25.0,11.36,10,3,1,False,False,False,True,False,False,False,True,False,False,high,very high,medium rate,RENT,1
245.0,24,82000.0,8.0,A,25.0,10.25,10,2,0,False,False,False,True,False,False,False,False,False,True,high,very high,medium rate,RENT,1
246.0,24,83000.0,5.0,A,25.0,11.12,10,3,0,False,False,False,True,False,True,False,False,False,False,high,very high,medium rate,RENT,1
247.0,24,83000.0,5.0,C,25.0,12.92,10,3,0,False,False,False,True,False,False,False,False,True,False,high,very high,high rate,RENT,0
248.0,24,180000.0,8.0,D,18.0,18.64,10,4,0,False,False,False,True,False,True,False,False,False,False,very high,very high,very high rate,RENT,0
249.0,23,180000.0,8.0,A,28.0,7.51,10,3,0,True,False,False,False,False,False,False,False,True,False,very high,very high,very low rate,MORTGAGE,2
250.0,23,14400.0,2.0,D,4.0,16.7,3,2,1,False,False,True,False,False,False,True,False,False,False,very low,very low,very high rate,OTHER,0
251.0,22,14400.0,0.0,A,2.1,11.14,2,4,0,False,False,True,False,False,False,False,False,True,False,very low,very low,medium rate,OTHER,1
252.0,22,84500.0,6.0,E,25.0,18.3,10,4,0,False,False,False,True,False,False,False,False,True,False,high,very high,very high rate,RENT,0
253.0,24,85000.0,5.0,A,25.0,10.62,10,4,0,False,False,False,True,False,False,False,True,False,False,high,very high,medium rate,RENT,1
254.0,24,180000.0,7.0,A,14.0,11.99,10,2,0,True,False,False,False,False,False,False,False,False,True,very high,high,high rate,MORTGAGE,2
255.0,26,180000.0,2.0,A,12.0,9.63,10,4,0,True,False,False,False,False,False,False,False,False,True,very high,high,low rate,MORTGAGE,2
256.0,25,142800.0,9.0,E,10.0,18.25,5,4,1,True,False,False,False,False,False,False,True,False,False,very high,medium,very high rate,MORTGAGE,2
257.0,23,14664.0,0.0,B,6.0,11.49,3,4,1,True,False,False,False,True,False,False,False,False,False,very low,low,medium rate,MORTGAGE,1
258.0,24,87000.0,8.0,C,25.0,14.84,10,3,0,False,False,False,True,False,False,True,False,False,False,very high,very high,very high rate,RENT,0
259.0,24,75000.0,0.0,D,25.0,14.7,10,3,1,False,False,False,True,False,False,False,False,False,True,high,very high,very high rate,RENT,0
260.0,23,76000.0,7.0,C,25.0,16.02,10,4,1,False,False,False,True,True,False,False,False,False,False,high,very high,very high rate,RENT,0
261.0,23,66215.0,1.0,C,25.0,15.37,10,2,1,False,False,False,True,False,False,False,True,False,False,high,very high,very high rate,RENT,0
262.0,25,90000.0,9.0,A,25.0,10.99,10,4,0,False,False,False,True,False,False,False,True,False,False,very high,very high,medium rate,RENT,1
263.0,21,15000.0,0.0,A,6.2,7.9,1,2,1,False,False,True,False,False,False,True,False,False,False,very low,low,low rate,OTHER,3
264.0,26,180000.0,2.0,A,25.0,10.99,10,4,0,False,False,True,False,False,False,False,False,True,False,very high,very high,medium rate,OTHER,2
265.0,24,180000.0,8.0,A,21.0,11.48,10,3,0,False,False,True,False,False,True,False,False,False,False,very high,very high,medium rate,OTHER,2
266.0,25,180000.0,9.0,B,20.0,14.26,10,4,0,False,False,True,False,False,False,False,True,False,False,very high,very high,very high rate,OTHER,0
